Pclass,Name,Age,SibSp,Parch,Sex
3,108,22.0,1,0,1
1,190,38.0,1,0,0
3,353,26.0,0,0,0
1,272,35.0,1,0,0
3,15,35.0,0,0,1
3,554,,0,0,1
1,515,54.0,0,0,1
3,624,2.0,3,1,1
3,412,27.0,0,2,0
2,576,14.0,1,0,0
3,727,4.0,1,1,0
1,95,58.0,0,0,0
3,729,20.0,0,0,1
3,28,39.0,1,5,1
3,840,14.0,0,0,0
2,359,55.0,0,0,0
3,682,2.0,4,1,1
2,867,,0,0,1
3,839,31.0,1,0,0
3,512,,0,0,0
2,273,35.0,0,0,1
2,80,34.0,0,0,1
3,523,15.0,0,0,0
1,765,28.0,0,0,1
3,626,8.0,3,1,0
3,44,38.0,1,5,0
3,240,,0,0,1
1,260,19.0,3,2,1
3,605,,0,0,0
3,813,,0,0,1
1,828,40.0,0,0,1
1,776,,1,0,0
3,289,,0,0,0
2,856,66.0,0,0,1
1,535,28.0,1,0,1
1,372,42.0,1,0,1
3,505,,0,0,1
3,134,21.0,0,0,1
3,837,18.0,2,0,0
3,589,14.0,1,0,0
3,7,40.0,1,0,0
2,827,27.0,1,0,0
3,446,,0,0,1
2,456,3.0,1,2,0
3,212,19.0,0,0,0
3,697,,0,0,1
3,473,,1,0,1
3,604,,0,0,0
3,726,,2,0,1
3,38,18.0,1,0,0
3,629,7.0,4,1,1
3,594,21.0,0,0,1
1,333,49.0,1,0,0
2,246,29.0,1,0,0
1,620,65.0,0,1,1
1,873,,0,0,1
2,707,21.0,0,0,0
3,595,28.5,0,0,1
2,853,5.0,1,2,0
3,299,11.0,5,2,1
3,749,22.0,0,0,1
1,385,38.0,0,0,0
1,337,45.0,1,0,1
3,755,4.0,3,2,1
1,784,,0,0,1
3,560,,1,1,1
2,596,29.0,0,0,0
3,185,19.0,0,0,1
3,25,17.0,4,2,0
3,440,26.0,2,0,1
2,396,32.0,0,0,1
3,300,16.0,5,2,0
2,376,21.0,0,0,1
3,161,26.0,1,0,1
3,87,32.0,0,0,1
3,546,25.0,0,0,1
3,778,,0,0,1
3,563,,0,0,1
2,127,0.83,0,2,1
3,223,30.0,0,0,0
3,842,22.0,0,0,1
3,737,29.0,0,0,1
3,519,,0,0,0
1,141,28.0,0,0,1
2,386,17.0,0,0,0
3,52,33.0,3,0,0
3,255,16.0,1,3,1
3,764,,0,0,1
1,259,23.0,3,2,0
3,149,24.0,0,0,1
3,159,29.0,0,0,1
3,31,20.0,0,0,1
1,150,46.0,1,0,1
3,209,26.0,1,2,1
3,184,59.0,0,0,1
3,740,,0,0,1
1,292,71.0,0,0,1
1,308,23.0,0,1,1
2,219,34.0,0,1,0
2,422,34.0,1,0,1
3,656,28.0,0,0,0
3,658,,0,0,1
1,858,21.0,0,1,1
3,405,33.0,0,0,1
3,312,37.0,2,0,1
3,542,28.0,0,0,1
3,724,21.0,0,0,0
3,559,,0,0,1
3,675,38.0,0,0,1
3,552,,1,0,0
1,667,47.0,0,0,1
3,882,14.5,1,0,0
3,67,22.0,0,0,1
3,417,20.0,1,0,0
3,46,17.0,0,0,0
3,645,21.0,0,0,1
3,178,70.5,0,0,1
2,826,29.0,1,0,1
1,70,24.0,0,1,1
3,24,2.0,4,2,0
2,362,21.0,2,0,1
3,551,,0,0,1
2,575,32.5,1,0,1
2,848,32.5,0,0,0
1,857,54.0,0,1,1
3,588,12.0,1,0,1
3,525,,0,0,1
3,499,24.0,0,0,1
3,653,,1,1,0
3,234,45.0,0,0,1
3,225,33.0,0,0,1
3,165,20.0,0,0,1
3,695,47.0,1,0,0
2,851,29.0,1,0,0
2,772,25.0,0,0,1
2,685,23.0,0,0,1
1,585,19.0,0,2,0
1,271,37.0,1,0,1
3,618,16.0,0,0,1
1,282,24.0,0,0,1
3,99,,0,2,0
3,597,22.0,0,0,0
3,319,24.0,1,0,0
3,116,19.0,0,0,1
2,32,18.0,0,0,1
2,586,19.0,1,1,1
3,29,27.0,0,0,1
3,254,9.0,2,2,0
2,580,36.5,0,2,1
2,121,42.0,0,0,1
2,68,51.0,0,0,1
1,643,22.0,1,0,0
3,532,55.5,0,0,1
3,889,40.5,0,2,1
3,612,,0,0,1
1,866,51.0,0,1,1
3,287,16.0,0,0,0
3,181,30.0,0,0,1
3,767,,0,0,1
3,716,,8,2,1
3,186,44.0,0,1,1
2,847,40.0,0,0,0
3,82,26.0,0,0,1
3,129,17.0,0,0,1
3,628,1.0,4,1,1
3,293,9.0,0,2,1
1,157,,0,1,0
3,760,45.0,1,4,0
1,69,,0,0,1
3,486,28.0,0,0,1
1,832,61.0,0,0,1
3,680,4.0,4,1,1
3,408,1.0,1,1,0
3,752,21.0,0,0,1
1,769,56.0,0,0,1
3,444,18.0,1,1,1
3,464,,3,1,1
1,388,50.0,0,0,0
2,320,30.0,0,0,1
3,474,36.0,0,0,1
3,717,,8,2,0
2,650,,0,0,1
3,41,9.0,4,2,1
2,76,1.0,2,1,1
3,441,4.0,0,2,0
1,700,,0,0,1
3,601,,1,0,0
1,698,45.0,0,0,1
3,101,40.0,1,1,1
3,823,36.0,0,0,1
2,664,32.0,0,0,0
2,136,19.0,0,0,1
3,20,19.0,1,0,0
2,579,3.0,1,1,1
1,113,44.0,0,0,0
1,495,58.0,0,0,0
3,533,,0,0,1
3,611,42.0,0,1,1
3,497,,0,0,0
2,881,24.0,0,0,0
3,834,28.0,0,0,1
3,721,,8,2,1
3,403,34.0,0,0,1
3,878,45.5,0,0,1
3,166,18.0,0,0,1
3,789,2.0,0,1,0
3,51,32.0,1,0,1
3,9,26.0,0,0,1
3,140,16.0,0,0,0
1,94,40.0,0,0,1
3,12,24.0,0,0,1
2,131,35.0,0,0,0
3,649,22.0,0,0,1
2,288,30.0,0,0,1
3,437,,1,0,1
1,582,31.0,1,0,0
3,375,27.0,0,0,0
2,390,42.0,1,0,1
1,72,32.0,0,0,0
2,338,30.0,0,0,1
3,791,16.0,0,0,1
2,105,27.0,0,0,1
3,306,51.0,0,0,1
3,581,,0,0,1
1,379,38.0,1,0,1
3,83,22.0,0,0,1
2,531,19.0,0,0,1
3,492,20.5,0,0,1
2,243,18.0,0,0,1
3,467,,3,1,0
1,339,35.0,1,0,0
3,460,29.0,0,0,1
2,754,59.0,0,0,1
3,43,5.0,4,2,0
2,479,24.0,0,0,1
3,329,,0,0,0
2,370,44.0,1,0,1
2,172,8.0,0,2,0
2,648,19.0,0,0,1
2,383,33.0,0,0,1
3,883,,1,0,0
3,567,,1,0,0
2,169,29.0,0,0,1
3,500,22.0,0,0,1
3,47,30.0,0,0,1
1,539,44.0,2,0,1
3,481,25.0,0,0,0
2,322,24.0,0,2,0
1,78,37.0,1,1,1
2,147,54.0,1,0,1
3,673,,0,0,1
3,790,29.0,1,1,0
1,782,62.0,0,0,1
3,487,30.0,1,0,1
3,702,41.0,0,2,0
3,819,29.0,0,2,0
1,808,,0,0,0
1,156,30.0,0,0,0
1,844,35.0,0,0,0
2,636,50.0,0,1,0
3,771,,0,0,1
3,42,3.0,4,2,1
1,799,52.0,1,1,1
1,340,40.0,0,0,1
3,356,,0,0,0
2,674,36.0,0,0,1
3,631,16.0,4,1,1
3,652,25.0,1,0,1
1,305,58.0,0,1,0
1,91,35.0,0,0,0
1,125,,0,0,1
3,817,25.0,0,0,1
2,530,41.0,0,1,0
1,577,37.0,0,1,1
3,350,,0,0,0
1,33,63.0,1,0,0
3,482,45.0,0,0,0
2,634,,0,0,1
3,681,7.0,4,1,1
3,2,35.0,1,1,0
3,227,65.0,0,0,1
3,614,28.0,0,0,1
3,887,16.0,0,0,1
3,221,19.0,0,0,1
1,770,,0,0,1
3,779,33.0,0,0,1
3,886,30.0,0,0,1
3,570,22.0,0,0,1
2,378,42.0,0,0,1
3,177,22.0,0,0,0
1,65,26.0,0,0,0
1,90,19.0,1,0,0
2,477,36.0,0,0,1
3,315,24.0,0,0,0
3,541,24.0,0,0,1
1,478,,0,0,1
3,324,23.5,0,0,1
1,17,2.0,1,2,0
1,714,,0,0,1
1,71,50.0,0,1,0
3,431,,0,0,0
3,518,,2,0,1
3,411,19.0,0,0,1
2,428,,0,0,0
3,868,,0,0,1
1,16,0.92,1,2,1
1,248,,0,0,0
1,647,17.0,1,0,0
2,3,30.0,1,0,1
1,263,30.0,0,0,0
1,348,24.0,0,0,0
1,710,18.0,2,2,0
2,449,26.0,1,1,0
3,355,28.0,0,0,1
2,342,43.0,1,1,1
3,590,26.0,0,0,0
2,423,24.0,1,0,0
2,555,54.0,0,0,1
1,859,31.0,0,2,0
1,775,40.0,1,1,0
3,211,22.0,0,0,1
3,200,27.0,0,0,1
2,762,30.0,0,0,0
2,128,22.0,1,1,0
3,722,,8,2,1
1,877,36.0,0,0,0
3,598,61.0,0,0,1
2,60,36.0,0,0,0
3,295,31.0,1,1,0
1,363,16.0,0,1,0
3,517,,2,0,0
1,637,45.5,0,0,1
1,304,38.0,0,1,1
3,838,16.0,2,0,1
1,265,,1,0,0
3,210,,0,0,1
1,642,29.0,1,0,1
1,117,41.0,0,0,0
3,192,45.0,0,0,1
1,93,45.0,0,0,1
2,578,2.0,1,1,1
1,258,24.0,3,2,0
2,170,28.0,0,0,1
2,733,25.0,0,0,1
2,262,36.0,0,0,1
2,111,24.0,0,0,0
2,768,40.0,0,0,0
3,207,,1,0,0
3,183,3.0,1,1,1
3,215,42.0,0,0,1
3,608,23.0,0,0,1
1,870,,0,0,1
3,237,15.0,1,1,1
3,37,25.0,1,0,1
3,879,,0,0,1
3,835,28.0,0,0,1
1,104,22.0,0,1,0
2,270,38.0,0,0,0
3,522,,0,0,0
3,545,,0,0,0
3,759,40.0,1,4,1
2,888,29.0,1,0,1
3,64,45.0,0,1,0
3,40,35.0,0,0,1
3,599,,1,0,1
3,5,30.0,0,0,1
1,845,60.0,1,0,0
3,562,,0,0,0
3,400,,0,0,0
1,48,24.0,0,0,0
1,328,25.0,1,0,1
3,863,18.0,1,0,1
3,75,19.0,0,0,1
1,690,22.0,0,0,1
3,625,3.0,3,1,0
1,536,,1,0,0
3,454,22.0,0,0,0
1,862,27.0,0,2,1
3,85,20.0,0,0,1
3,314,19.0,0,0,1
1,86,42.0,0,0,0
3,572,1.0,0,2,0
3,811,32.0,0,0,1
1,373,35.0,1,0,0
3,665,,0,0,1
2,205,18.0,0,0,1
3,298,1.0,5,2,1
2,118,36.0,0,0,0
3,715,,0,0,1
2,468,17.0,0,0,0
1,144,36.0,1,2,1
3,393,21.0,0,0,1
3,313,28.0,2,0,1
1,583,23.0,1,0,0
3,728,24.0,0,2,0
3,404,22.0,0,0,1
3,613,31.0,0,0,0
2,524,46.0,0,0,1
2,623,23.0,0,0,1
2,821,28.0,0,0,0
3,592,39.0,0,0,1
3,6,26.0,0,0,1
3,418,21.0,1,0,0
3,318,28.0,1,0,1
3,616,20.0,0,0,0
2,274,34.0,1,0,1
3,861,51.0,0,0,1
2,687,3.0,1,1,1
3,88,21.0,0,0,1
3,465,,3,1,0
3,732,,0,0,1
3,343,,0,0,1
1,540,33.0,1,0,0
2,191,,0,0,1
3,792,44.0,0,0,1
3,528,,0,0,0
2,226,34.0,1,1,0
2,742,18.0,0,2,0
2,513,30.0,0,0,1
3,829,10.0,0,2,0
3,281,,0,0,1
3,155,21.0,0,0,1
3,884,29.0,0,0,1
3,198,28.0,1,1,0
3,701,18.0,1,1,1
3,872,,0,0,1
2,162,28.0,1,0,0
2,662,19.0,0,0,0
3,249,,0,0,1
3,663,32.0,0,0,1
1,92,28.0,0,0,1
3,810,,1,0,0
2,491,42.0,1,0,0
3,420,17.0,0,0,1
1,744,50.0,1,0,1
1,143,14.0,1,2,0
3,253,21.0,2,2,0
2,688,24.0,2,3,0
1,261,64.0,1,4,1
2,447,31.0,0,0,1
2,344,45.0,1,1,0
3,323,20.0,0,0,1
3,659,25.0,1,0,1
2,679,28.0,0,0,0
3,402,,0,0,1
1,216,4.0,0,2,1
2,529,13.0,0,1,0
1,735,34.0,0,0,1
3,55,5.0,2,1,0
1,661,52.0,0,0,1
2,854,36.0,1,2,1
3,316,,1,0,1
1,257,30.0,0,0,1
1,290,49.0,1,0,1
3,644,,0,0,1
3,392,29.0,0,0,1
1,537,65.0,0,0,1
1,436,,1,0,0
2,815,50.0,0,0,0
3,603,,0,0,1
1,21,48.0,0,0,1
3,557,34.0,0,0,1
1,280,47.0,0,0,1
2,538,48.0,0,0,1
3,502,,0,0,1
3,296,38.0,0,0,1
2,132,,0,0,1
1,766,56.0,0,0,1
3,731,,0,0,1
3,54,0.75,2,1,0
3,430,,0,0,1
3,124,38.0,0,0,1
2,855,33.0,1,2,0
2,401,23.0,0,0,0
3,787,22.0,0,0,0
1,164,,0,0,1
2,676,34.0,1,0,1
3,107,29.0,1,0,1
3,425,22.0,0,0,1
3,365,2.0,0,1,0
3,297,9.0,5,2,1
2,268,,0,0,1
3,706,50.0,0,0,1
3,825,63.0,0,0,0
1,89,25.0,1,0,1
3,466,,3,1,0
1,381,35.0,1,0,0
1,435,58.0,0,0,1
3,774,30.0,0,0,1
3,182,9.0,1,1,1
3,317,,1,0,1
3,871,21.0,0,0,1
1,547,55.0,0,0,1
1,39,71.0,0,0,1
3,781,21.0,0,0,1
3,880,,0,0,1
1,242,54.0,1,0,0
3,738,,0,0,1
1,18,25.0,1,2,0
3,796,24.0,0,0,1
3,130,17.0,0,0,1
3,133,21.0,0,0,0
3,607,,0,0,0
3,450,37.0,0,0,0
1,501,16.0,0,0,0
1,646,18.0,1,0,1
2,670,33.0,0,2,0
1,106,,0,0,1
3,610,28.0,0,0,1
3,455,26.0,0,0,1
3,195,29.0,0,0,1
3,849,,0,0,1
1,521,36.0,0,0,1
1,705,54.0,1,0,0
3,168,24.0,0,0,1
1,843,47.0,0,0,1
2,472,34.0,0,0,0
3,709,,0,0,1
2,35,36.0,1,0,0
3,641,32.0,0,0,1
1,651,30.0,0,0,0
3,841,22.0,0,0,1
3,448,,0,0,1
1,364,44.0,0,1,0
3,427,,0,0,1
3,244,40.5,0,0,1
2,689,50.0,0,0,0
1,245,,0,0,1
3,725,39.0,0,0,1
2,366,23.0,2,1,1
2,669,2.0,1,1,0
3,818,,0,0,1
3,236,17.0,1,1,1
3,654,,0,2,0
3,123,30.0,0,0,0
2,341,7.0,0,2,0
1,120,45.0,0,0,1
1,461,30.0,0,0,0
3,692,,0,0,1
1,266,22.0,0,2,0
1,188,36.0,0,2,0
3,26,9.0,4,2,0
3,27,11.0,4,2,0
2,73,32.0,1,0,1
1,222,50.0,1,0,1
1,587,64.0,0,0,1
2,74,19.0,1,0,0
2,622,,0,0,1
3,294,33.0,1,1,1
2,203,8.0,1,1,1
1,804,17.0,0,2,1
2,736,27.0,0,0,1
3,600,,0,0,1
3,463,22.0,0,0,1
3,609,22.0,0,0,0
1,874,62.0,0,0,1
1,228,48.0,1,0,0
1,693,,0,0,1
1,800,39.0,1,1,0
3,885,36.0,1,0,0
3,558,,0,0,1
3,751,40.0,0,0,1
2,593,28.0,0,0,1
3,746,,0,0,1
3,527,,0,0,0
3,204,24.0,2,0,1
3,786,19.0,0,0,1
3,627,29.0,0,4,0
3,217,,0,0,1
3,416,32.0,0,0,1
2,336,62.0,0,0,1
1,36,53.0,2,0,0
1,251,36.0,0,0,1
3,432,,0,0,0
3,708,16.0,0,0,1
3,639,19.0,0,0,1
2,277,34.0,0,0,0
1,745,39.0,1,0,0
3,135,,1,0,0
3,419,32.0,0,0,1
2,160,25.0,1,1,0
1,805,39.0,1,1,0
2,224,54.0,0,0,1
1,703,36.0,0,0,1
3,640,,0,0,1
1,798,18.0,0,2,0
2,395,47.0,0,0,1
1,267,60.0,1,1,1
3,284,22.0,0,0,1
3,566,,0,0,1
3,691,35.0,0,0,1
1,783,52.0,1,0,0
3,238,47.0,0,0,1
3,100,,0,2,0
2,154,37.0,1,0,1
3,830,36.0,1,1,1
2,470,,0,0,0
3,409,49.0,0,0,1
3,98,,0,0,1
1,229,49.0,1,0,1
2,391,24.0,2,1,0
3,761,,0,0,1
1,335,,0,0,1
3,816,44.0,0,0,1
1,374,35.0,0,0,1
3,483,36.0,1,0,1
3,424,30.0,0,0,1
1,199,27.0,0,0,1
2,458,22.0,1,2,0
1,741,40.0,0,0,0
3,30,39.0,1,5,0
3,394,,0,0,1
3,568,,1,0,0
3,377,,0,0,1
3,110,35.0,0,0,1
2,357,24.0,1,2,0
3,197,34.0,1,1,1
3,488,26.0,1,0,0
2,77,4.0,2,1,0
2,279,26.0,0,0,1
3,875,27.0,1,0,1
1,439,42.0,1,0,1
3,573,20.0,1,1,1
3,327,21.0,0,0,1
3,103,21.0,0,0,1
1,794,61.0,0,0,1
2,442,57.0,0,0,1
1,490,21.0,0,0,0
3,96,26.0,0,0,1
3,602,,0,0,1
1,66,80.0,0,0,1
3,494,51.0,0,0,1
1,777,32.0,0,0,1
1,635,,0,0,1
3,757,9.0,3,2,0
2,206,28.0,0,0,0
3,469,32.0,0,0,1
2,173,31.0,1,1,1
3,633,41.0,0,5,0
3,809,,1,0,1
3,397,20.0,0,0,1
1,723,24.0,0,0,0
3,758,2.0,3,2,0
3,252,,0,0,1
3,53,0.75,2,1,0
1,332,48.0,1,0,1
3,180,19.0,0,0,1
1,747,56.0,0,0,1
3,865,,0,0,1
3,780,23.0,0,0,0
3,544,,0,0,1
2,218,18.0,0,1,0
3,421,21.0,0,0,1
3,606,,0,0,0
3,352,18.0,0,0,0
2,360,24.0,2,0,1
3,671,,0,0,1
3,102,32.0,1,1,0
2,232,23.0,0,0,1
1,584,58.0,0,2,1
1,264,50.0,2,0,1
3,57,40.0,0,0,1
1,171,47.0,0,0,1
3,167,36.0,0,0,1
3,484,20.0,1,0,1
2,361,32.0,2,0,1
2,119,25.0,0,0,1
3,699,,0,0,1
3,179,43.0,0,0,1
1,802,,1,0,0
2,114,40.0,1,1,0
1,202,31.0,1,0,1
2,543,70.0,0,0,1
2,864,31.0,0,0,1
2,846,,0,0,1
3,231,18.0,0,0,1
3,730,24.5,0,0,1
3,824,18.0,0,0,0
3,302,43.0,1,6,0
1,137,36.0,0,1,1
3,655,,0,0,0
1,345,27.0,0,0,1
3,615,20.0,0,0,1
3,301,14.0,5,2,1
2,112,60.0,1,1,1
2,457,25.0,1,2,1
3,632,14.0,4,1,1
3,194,19.0,0,0,1
3,247,18.0,0,0,1
1,498,15.0,0,1,0
1,213,31.0,1,0,1
3,426,4.0,0,1,0
3,452,,0,0,1
3,713,25.0,0,0,1
1,850,60.0,0,0,1
2,153,52.0,0,0,1
3,433,44.0,0,0,1
3,565,,0,0,0
1,803,49.0,1,1,1
3,382,42.0,0,0,1
1,45,18.0,1,0,0
1,743,35.0,0,0,1
3,63,18.0,0,1,0
3,275,25.0,0,0,1
3,326,26.0,1,0,1
2,556,39.0,0,0,1
2,434,45.0,0,0,0
1,126,42.0,0,0,1
1,163,22.0,0,0,0
3,561,,1,1,1
1,514,24.0,0,0,0
1,443,,0,0,1
1,801,48.0,1,0,1
3,459,29.0,0,0,1
2,307,52.0,0,0,1
3,773,19.0,0,0,1
1,241,38.0,0,0,0
2,822,27.0,0,0,0
3,520,,0,0,1
3,410,33.0,0,0,1
2,331,6.0,0,1,0
3,399,17.0,1,0,1
2,286,34.0,0,0,1
2,368,50.0,0,0,1
1,151,27.0,1,0,1
3,617,20.0,0,0,1
2,677,30.0,3,0,0
3,507,,0,0,0
2,115,25.0,1,0,1
3,387,25.0,1,0,0
1,14,29.0,0,0,0
3,346,11.0,0,0,1
2,445,,0,0,1
2,84,23.0,0,0,1
2,820,23.0,0,0,1
3,869,28.5,0,0,1
3,256,48.0,1,3,0
1,476,35.0,0,0,1
3,389,,0,0,1
3,574,,0,0,1
1,347,,0,0,1
1,148,36.0,1,0,1
1,711,21.0,2,2,0
3,526,24.0,1,0,1
3,788,31.0,0,0,1
1,187,70.0,1,1,1
3,1,16.0,1,1,1
2,748,30.0,0,0,0
1,511,19.0,1,0,1
3,176,31.0,0,0,1
2,852,4.0,1,1,0
3,549,6.0,0,1,1
3,833,33.0,0,0,1
3,415,23.0,0,0,1
2,358,48.0,1,2,0
2,321,0.67,1,1,1
3,138,28.0,0,0,1
2,58,18.0,0,0,1
3,806,34.0,0,0,1
1,704,33.0,0,0,0
3,276,,0,0,1
3,591,41.0,0,0,1
3,62,20.0,0,0,1
1,146,36.0,1,2,0
3,233,16.0,0,0,1
1,369,51.0,1,0,0
1,109,,0,0,1
3,506,30.5,0,0,0
3,553,,1,0,1
3,309,32.0,0,0,1
3,480,24.0,0,0,1
3,398,48.0,0,0,1
2,496,57.0,0,0,0
3,235,,0,0,1
2,367,54.0,1,3,0
3,569,18.0,0,0,1
3,812,,0,0,1
3,239,5.0,0,0,0
3,438,,0,0,1
1,694,43.0,0,1,0
3,50,13.0,0,0,0
1,214,17.0,1,0,0
1,489,29.0,0,0,1
3,414,,1,2,1
3,13,25.0,0,0,1
3,330,25.0,0,0,1
3,753,18.0,0,0,0
3,683,8.0,4,1,1
3,208,1.0,1,2,1
1,310,46.0,0,0,1
3,429,,0,0,1
2,278,16.0,0,0,1
3,719,,8,2,0
1,380,,0,0,1
3,201,25.0,0,0,1
2,621,39.0,0,0,1
1,462,49.0,0,0,0
3,619,31.0,0,0,0
3,384,30.0,0,0,1
3,831,30.0,1,1,0
2,666,34.0,0,0,1
2,174,31.0,1,1,0
1,142,11.0,1,2,1
3,807,0.42,0,1,1
3,351,27.0,0,0,1
3,406,31.0,0,0,1
1,34,39.0,0,0,1
3,660,18.0,0,0,0
2,534,39.0,0,0,1
1,152,33.0,1,0,0
3,10,26.0,0,0,1
3,475,39.0,0,0,1
2,763,35.0,0,0,1
3,23,6.0,4,2,0
3,814,30.5,0,0,1
1,269,,0,0,1
3,354,23.0,0,0,0
2,504,31.0,1,1,1
3,371,43.0,0,0,1
3,756,10.0,3,2,1
1,349,52.0,1,1,0
3,493,27.0,0,0,1
1,678,38.0,0,0,1
3,550,27.0,0,1,0
3,630,2.0,4,1,1
3,250,,0,0,1
3,453,,0,0,1
2,503,1.0,0,2,1
3,516,,0,0,1
1,785,62.0,0,0,0
3,876,15.0,1,0,0
2,686,0.83,1,1,1
3,712,,0,0,1
3,49,23.0,0,0,1
3,19,18.0,0,0,1
1,175,39.0,1,1,0
3,638,21.0,0,0,1
3,750,,0,0,1
3,158,32.0,0,0,1
1,508,,0,0,1
3,11,20.0,0,0,1
2,564,16.0,0,0,1
1,734,30.0,0,0,0
3,471,34.5,0,0,1
3,189,17.0,0,0,1
3,0,42.0,0,0,1
3,720,,8,2,1
3,509,35.0,0,0,1
2,334,28.0,0,1,1
1,291,,1,0,0
3,22,4.0,4,2,1
3,795,74.0,0,0,1
3,97,9.0,1,1,0
1,485,16.0,0,1,0
2,145,44.0,1,0,0
3,8,18.0,0,1,0
1,860,45.0,1,1,0
1,196,51.0,0,0,1
3,56,24.0,0,3,0
3,672,,0,0,1
3,325,41.0,2,0,1
2,283,21.0,1,0,1
1,797,48.0,0,0,0
3,718,,8,2,0
2,285,24.0,0,0,1
2,122,42.0,0,0,0
2,230,27.0,1,0,0
1,696,31.0,0,0,1
3,890,,0,0,1
3,407,4.0,1,1,1
3,59,26.0,0,0,1
1,79,47.0,1,1,0
1,139,33.0,0,0,1
3,836,47.0,0,0,1
2,4,28.0,1,0,0
3,571,15.0,0,0,0
3,311,20.0,0,0,1
3,657,19.0,0,0,1
3,451,,0,0,1
1,668,56.0,0,1,0
2,739,25.0,0,1,0
3,510,33.0,0,0,1
3,193,22.0,0,0,0
2,61,28.0,0,0,1
3,793,25.0,0,0,1
3,684,39.0,0,5,0
2,548,27.0,0,0,1
1,303,19.0,0,0,0
3,413,,1,2,0
1,81,26.0,0,0,1
3,220,32.0,0,0,1
